seccion,metrica,SNOW,DDOG,SHOP
PERFIL,Nombre,Snowflake Inc.,"Datadog, Inc.",Shopify Inc.
PERFIL,Sector / Industria (Yahoo),Technology / Software - Application,Technology / Software - Application,Technology / Software - Application
PERFIL,CEDEAR (.BA),SNOW.BA,,SHOP.BA
PERFIL,Precio actual (USD),316.18,225.66,154.19
PERFIL,Market Cap (B USD),109.6,81.0,200.1
CUANTITATIVO 3Y,Retorno anualizado,0.3941,0.4385,0.5084
CUANTITATIVO 3Y,Volatilidad anualizada,0.5592,0.5387,0.5796
CUANTITATIVO 3Y,Sharpe ratio,0.705,0.814,0.877
CUANTITATIVO 3Y,VaR diario 95%,-0.0444,-0.0421,-0.0513
CUANTITATIVO 3Y,Max drawdown,-0.563,-0.4862,-0.4671
CUANTITATIVO 3Y,Skewness,2.469,2.134,0.784
CUANTITATIVO 3Y,Kurtosis (exceso),27.164,20.236,8.416
CUANTITATIVO 3Y,p-value Jarque-Bera,0.0,0.0,0.0
CUANTITATIVO 3Y,Beta vs SPY,1.478,1.306,2.099
CUANTITATIVO 3Y,Alpha anual vs SPY,0.0834,0.164,0.0673
CUANTITATIVO 3Y,R² vs SPY,0.164,0.138,0.308
CUANTITATIVO 3Y,Beta vs XLK,0.934,0.88,1.121
CUANTITATIVO 3Y,Alpha anual vs XLK,0.1184,0.1787,0.1773
CUANTITATIVO 3Y,R² vs XLK,0.175,0.167,0.235
FUNDAMENTAL,P/E trailing,,451.32,104.18
FUNDAMENTAL,P/E forward,116.82,76.02,62.86
FUNDAMENTAL,PEG (trailing),8.15,1.44,2.61
FUNDAMENTAL,P/S,21.77,20.43,15.08
FUNDAMENTAL,P/B,56.5,18.55,16.04
FUNDAMENTAL,EV/EBITDA,-99.14,933.22,78.48
FUNDAMENTAL,P/E aprox actual / percentil 3y,-89.82 (2.0000%),451.32 (92.60%),104.18 (91.10%)
FUNDAMENTAL,Margen bruto,0.6717,0.7996,0.4807
FUNDAMENTAL,Margen operativo,-0.2783,0.0403,0.1631
FUNDAMENTAL,Margen neto,-0.2843,0.0314,0.1065
FUNDAMENTAL,ROE,-0.6921,0.0289,0.0914
FUNDAMENTAL,ROA,-0.1458,0.0162,0.081
FUNDAMENTAL,Deuda/Patrimonio,1.425,0.343,0.014
FUNDAMENTAL,Deuda/EBITDA,-2.53,6.6,0.1
FUNDAMENTAL,Liquidez corriente,1.3,3.38,5.96
FUNDAMENTAL,FCF (B USD),1.12,0.91,2.01
FUNDAMENTAL,Crecimiento ingresos YoY,0.335,0.356,0.337
FUNDAMENTAL,Altman Z (zona),22.75 (SEGURA),39.31 (SEGURA),640.55 (SEGURA)
FUNDAMENTAL,Target price / upside,321.35 (+1.6000%),285.18 (+26.40%),171.15 (+11.00%)
TECNICO,SMA20 / SMA50 / SMA200,320.24 / 281.96 / 216.35,250.57 / 249.17 / 174.96,143.28 / 128.29 / 131.49
TECNICO,Tendencia (vs SMA200),ALCISTA,ALCISTA,ALCISTA
TECNICO,Cruce SMA50/200,GOLDEN CROSS,GOLDEN CROSS,DEATH CROSS
TECNICO,RSI14 (zona),55.3 (NEUTRAL),40.2 (NEUTRAL),64.8 (NEUTRAL)
TECNICO,MACD hist,-3.33,-3.469,-0.353
TECNICO,Bollinger %B,0.43,0.17,0.7
TECNICO,ATR14 (% precio),4.06,6.07,4.04
TECNICO,ADX14 (regimen),32.3 (TENDENCIA FUERTE),18.3 (SIN TENDENCIA),29.2 (TENDENCIA FUERTE)
TECNICO,Posicion rango 52s (%),90.2,66.3,70.3
TECNICO,Distancia a maximo 52s (%),-6.3,-21.7,-13.9
TECNICO,Momentum 1M / 3M (%),16.90 / 80.40,-10.10 / 1.7000,18.40 / 44.60
TECNICO,Momentum 6M / 12M (%),86.90 / 62.40,104.50 / 75.80,28.20 / 9.7000
TECNICO,Volumen relativo (vs 20d),0.33,0.18,0.21
NOTICIAS,Noticias / score neto,10 / +4,10 / +2,10 / +5
NOTICIAS,Bullish / Bearish / Neutrales,4 / 0 / 6,3 / 1 / 6,5 / 0 / 5
