seccion,metrica,PANW,CRWD,FTNT
PERFIL,Nombre,"Palo Alto Networks, Inc.","CrowdStrike Holdings, Inc.","Fortinet, Inc."
PERFIL,Sector / Industria (Yahoo),Technology / Software - Infrastructure,Technology / Software - Infrastructure,Technology / Software - Infrastructure
PERFIL,CEDEAR (.BA),,CRWD.BA,
PERFIL,Precio actual (USD),345.64,188.2,153.95
PERFIL,Market Cap (B USD),281.7,191.7,113.0
CUANTITATIVO 3Y,Retorno anualizado,0.4546,0.6527,0.4045
CUANTITATIVO 3Y,Volatilidad anualizada,0.4079,0.4697,0.4052
CUANTITATIVO 3Y,Sharpe ratio,1.115,1.39,0.998
CUANTITATIVO 3Y,VaR diario 95%,-0.0376,-0.0403,-0.0326
CUANTITATIVO 3Y,Max drawdown,-0.3601,-0.4444,-0.3507
CUANTITATIVO 3Y,Skewness,-1.664,0.183,0.902
CUANTITATIVO 3Y,Kurtosis (exceso),21.198,3.504,25.82
CUANTITATIVO 3Y,p-value Jarque-Bera,0.0,0.0,0.0
CUANTITATIVO 3Y,Beta vs SPY,1.231,1.577,1.038
CUANTITATIVO 3Y,Alpha anual vs SPY,0.1959,0.3213,0.1864
CUANTITATIVO 3Y,R² vs SPY,0.214,0.265,0.154
CUANTITATIVO 3Y,Beta vs XLK,0.786,1.061,0.618
CUANTITATIVO 3Y,Alpha anual vs XLK,0.2226,0.3393,0.222
CUANTITATIVO 3Y,R² vs XLK,0.233,0.32,0.146
FUNDAMENTAL,P/E trailing,297.96,,54.4
FUNDAMENTAL,P/E forward,83.89,120.11,40.95
FUNDAMENTAL,PEG (trailing),3.89,6.2,2.09
FUNDAMENTAL,P/S,26.56,37.63,15.01
FUNDAMENTAL,P/B,10.16,41.37,72.82
FUNDAMENTAL,EV/EBITDA,192.12,3210.97,41.61
FUNDAMENTAL,P/E aprox actual / percentil 3y,297.96 (96.70%),"-4,705.00 (4.4000%)",54.40 (95.90%)
FUNDAMENTAL,Margen bruto,0.7341,0.7467,0.8046
FUNDAMENTAL,Margen operativo,0.1732,-0.0206,0.3386
FUNDAMENTAL,Margen neto,0.123,-0.0338,0.2726
FUNDAMENTAL,ROE,0.1449,-0.0367,1.4977
FUNDAMENTAL,ROA,0.0481,-0.0147,0.1784
FUNDAMENTAL,Deuda/Patrimonio,0.043,0.185,0.805
FUNDAMENTAL,Deuda/EBITDA,0.17,4.49,0.41
FUNDAMENTAL,Liquidez corriente,0.94,1.77,1.17
FUNDAMENTAL,FCF (B USD),3.47,1.24,2.23
FUNDAMENTAL,Crecimiento ingresos YoY,0.311,0.256,0.256
FUNDAMENTAL,Altman Z (zona),500.49 (SEGURA),140.85 (SEGURA),69.44 (SEGURA)
FUNDAMENTAL,Target price / upside,361.55 (+4.6000%),210.53 (+11.80%),160.86 (+4.5000%)
TECNICO,SMA20 / SMA50 / SMA200,361.04 / 338.59 / 227.34,205.09 / 193.85 / 139.35,158.71 / 156.34 / 106.85
TECNICO,Tendencia (vs SMA200),ALCISTA,ALCISTA,ALCISTA
TECNICO,Cruce SMA50/200,GOLDEN CROSS,GOLDEN CROSS,GOLDEN CROSS
TECNICO,RSI14 (zona),46.3 (NEUTRAL),40.5 (NEUTRAL),46.7 (NEUTRAL)
TECNICO,MACD hist,-5.039,-4.064,-1.321
TECNICO,Bollinger %B,0.32,0.21,0.27
TECNICO,ATR14 (% precio),4.27,4.8,3.76
TECNICO,ADX14 (regimen),23.6 (TENDENCIA MODERADA),25.2 (TENDENCIA FUERTE),22.9 (TENDENCIA MODERADA)
TECNICO,Posicion rango 52s (%),80.2,72.9,84.6
TECNICO,Distancia a maximo 52s (%),-12.7,-16.6,-8.5
TECNICO,Momentum 1M / 3M (%),8.3000 / 39.10,3.5000 / 16.60,2.6000 / 20.30
TECNICO,Momentum 6M / 12M (%),138.60 / 87.30,107.20 / 79.70,99.00 / 98.30
TECNICO,Volumen relativo (vs 20d),0.28,0.36,0.17
NOTICIAS,Noticias / score neto,10 / +2,10 / +0,10 / +4
NOTICIAS,Bullish / Bearish / Neutrales,3 / 1 / 6,3 / 3 / 4,4 / 0 / 6
