seccion,metrica,RTX,GD,GE
PERFIL,Nombre,RTX Corporation,General Dynamics Corporation,GE Aerospace
PERFIL,Sector / Industria (Yahoo),Industrials / Aerospace & Defense,Industrials / Aerospace & Defense,Industrials / Aerospace & Defense
PERFIL,CEDEAR (.BA),RTX.BA,,GE.BA
PERFIL,Precio actual (USD),209.49,376.85,347.07
PERFIL,Market Cap (B USD),282.3,102.0,360.1
CUANTITATIVO 3Y,Retorno anualizado,0.3538,0.217,0.5098
CUANTITATIVO 3Y,Volatilidad anualizada,0.2433,0.2091,0.3116
CUANTITATIVO 3Y,Sharpe ratio,1.454,1.038,1.636
CUANTITATIVO 3Y,VaR diario 95%,-0.0198,-0.0176,-0.0303
CUANTITATIVO 3Y,Max drawdown,-0.1973,-0.2255,-0.2136
CUANTITATIVO 3Y,Skewness,-0.079,0.559,-0.183
CUANTITATIVO 3Y,Kurtosis (exceso),8.633,7.738,4.146
CUANTITATIVO 3Y,p-value Jarque-Bera,0.0,0.0,0.0
CUANTITATIVO 3Y,Beta vs SPY,0.431,0.488,1.159
CUANTITATIVO 3Y,Alpha anual vs SPY,0.2633,0.1143,0.2662
CUANTITATIVO 3Y,R² vs SPY,0.074,0.128,0.325
CUANTITATIVO 3Y,Beta vs XLI,0.675,0.635,1.277
CUANTITATIVO 3Y,Alpha anual vs XLI,0.2171,0.0884,0.2513
CUANTITATIVO 3Y,R² vs XLI,0.214,0.257,0.468
FUNDAMENTAL,P/E trailing,36.95,22.99,40.93
FUNDAMENTAL,P/E forward,26.67,20.32,38.25
FUNDAMENTAL,PEG (trailing),2.6,2.67,5.02
FUNDAMENTAL,P/S,3.02,1.86,7.11
FUNDAMENTAL,P/B,4.25,3.8,20.42
FUNDAMENTAL,EV/EBITDA,19.77,16.41,31.8
FUNDAMENTAL,P/E aprox actual / percentil 3y,36.95 (96.90%),22.99 (96.70%),40.93 (94.30%)
FUNDAMENTAL,Margen bruto,0.2008,0.1513,0.3149
FUNDAMENTAL,Margen operativo,0.1193,0.1048,0.2365
FUNDAMENTAL,Margen neto,0.076,0.0801,0.1898
FUNDAMENTAL,ROE,0.1032,0.1643,0.466
FUNDAMENTAL,ROA,0.0394,0.0735,0.0669
FUNDAMENTAL,Deuda/Patrimonio,0.606,0.382,1.097
FUNDAMENTAL,Deuda/EBITDA,2.64,1.52,1.7
FUNDAMENTAL,Liquidez corriente,1.03,1.44,1.04
FUNDAMENTAL,FCF (B USD),7.45,3.96,7.26
FUNDAMENTAL,Crecimiento ingresos YoY,0.145,0.081,0.211
FUNDAMENTAL,Altman Z (zona),5.4900 (SEGURA),8.7200 (SEGURA),12.10 (SEGURA)
FUNDAMENTAL,Target price / upside,234.82 (+12.10%),420.02 (+11.40%),404.90 (+16.70%)
TECNICO,SMA20 / SMA50 / SMA200,218.09 / 203.82 / 190.50,387.83 / 374.52 / 351.11,362.48 / 360.07 / 319.49
TECNICO,Tendencia (vs SMA200),ALCISTA,ALCISTA,ALCISTA
TECNICO,Cruce SMA50/200,GOLDEN CROSS,GOLDEN CROSS,GOLDEN CROSS
TECNICO,RSI14 (zona),45.1 (NEUTRAL),42.4 (NEUTRAL),43.2 (NEUTRAL)
TECNICO,MACD hist,-2.592,-2.499,-3.404
TECNICO,Bollinger %B,0.09,0.01,0.17
TECNICO,ATR14 (% precio),2.23,1.9,2.77
TECNICO,ADX14 (regimen),30.2 (TENDENCIA FUERTE),18.5 (SIN TENDENCIA),16.7 (SIN TENDENCIA)
TECNICO,Posicion rango 52s (%),78.9,77.5,70.5
TECNICO,Distancia a maximo 52s (%),-7.1,-4.8,-9.0
TECNICO,Momentum 1M / 3M (%),-3.8000 / 19.00,-4.2000 / 10.50,-4.5000 / 9.5000
TECNICO,Momentum 6M / 12M (%),7.7000 / 36.00,10.80 / 19.90,1.5000 / 30.80
TECNICO,Volumen relativo (vs 20d),0.24,0.31,0.27
NOTICIAS,Noticias / score neto,10 / +4,10 / +5,10 / +5
NOTICIAS,Bullish / Bearish / Neutrales,4 / 0 / 6,5 / 0 / 5,5 / 0 / 5
