seccion,metrica,EQNR,E,SU
PERFIL,Nombre,Equinor ASA,Eni S.p.A.,Suncor Energy Inc.
PERFIL,Sector / Industria (Yahoo),Energy / Oil & Gas Integrated,Energy / Oil & Gas Integrated,Energy / Oil & Gas Integrated
PERFIL,CEDEAR (.BA),EQNR.BA,E.BA,
PERFIL,Precio actual (USD),41.4,54.3,66.31
PERFIL,Market Cap (B USD),98.3,78.3,78.3
CUANTITATIVO 3Y,Retorno anualizado,0.2407,0.2697,0.3074
CUANTITATIVO 3Y,Volatilidad anualizada,0.3259,0.2268,0.2739
CUANTITATIVO 3Y,Sharpe ratio,0.739,1.189,1.122
CUANTITATIVO 3Y,VaR diario 95%,-0.0325,-0.0216,-0.0258
CUANTITATIVO 3Y,Max drawdown,-0.2758,-0.2013,-0.2267
CUANTITATIVO 3Y,Skewness,-0.181,-0.212,-0.399
CUANTITATIVO 3Y,Kurtosis (exceso),1.468,2.578,3.022
CUANTITATIVO 3Y,p-value Jarque-Bera,0.0,0.0,0.0
CUANTITATIVO 3Y,Beta vs SPY,0.161,0.334,0.444
CUANTITATIVO 3Y,Alpha anual vs SPY,0.2068,0.1994,0.214
CUANTITATIVO 3Y,R² vs SPY,0.006,0.051,0.062
CUANTITATIVO 3Y,Beta vs XLE,1.024,0.685,0.987
CUANTITATIVO 3Y,Alpha anual vs XLE,0.06,0.1488,0.1332
CUANTITATIVO 3Y,R² vs XLE,0.47,0.434,0.618
FUNDAMENTAL,P/E trailing,11.22,12.12,12.19
FUNDAMENTAL,P/E forward,11.3,10.18,11.78
FUNDAMENTAL,PEG (trailing),1.05,0.4,11.4
FUNDAMENTAL,P/S,0.86,0.87,1.38
FUNDAMENTAL,P/B,4.67,1.47,2.25
FUNDAMENTAL,EV/EBITDA,5.13,8.11,4.52
FUNDAMENTAL,P/E aprox actual / percentil 3y,11.22 (98.90%),12.12 (94.00%),12.19 (96.90%)
FUNDAMENTAL,Margen bruto,0.3623,0.0943,0.4138
FUNDAMENTAL,Margen operativo,0.2449,0.1698,0.1659
FUNDAMENTAL,Margen neto,0.0477,0.0292,0.113
FUNDAMENTAL,ROE,0.1248,0.0501,0.1311
FUNDAMENTAL,ROA,0.0383,0.0175,0.0658
FUNDAMENTAL,Deuda/Patrimonio,0.772,0.713,0.321
FUNDAMENTAL,Deuda/EBITDA,0.81,1.61,0.93
FUNDAMENTAL,Liquidez corriente,1.27,1.33,1.39
FUNDAMENTAL,FCF (B USD),5.98,4.1,6.92
FUNDAMENTAL,Crecimiento ingresos YoY,0.374,0.185,0.459
FUNDAMENTAL,Altman Z (zona),3.9200 (SEGURA),2.7800 (GRIS),4.5500 (SEGURA)
FUNDAMENTAL,Target price / upside,34.74 (+-16.10%),54.58 (+0.5000%),70.78 (+6.7000%)
TECNICO,SMA20 / SMA50 / SMA200,40.66 / 36.90 / 32.10,55.02 / 51.30 / 47.03,65.38 / 61.47 / 56.73
TECNICO,Tendencia (vs SMA200),ALCISTA,ALCISTA,ALCISTA
TECNICO,Cruce SMA50/200,GOLDEN CROSS,GOLDEN CROSS,GOLDEN CROSS
TECNICO,RSI14 (zona),58.2 (NEUTRAL),51.2 (NEUTRAL),56.0 (NEUTRAL)
TECNICO,MACD hist,-0.003,-0.161,0.109
TECNICO,Bollinger %B,0.63,0.34,0.6
TECNICO,ATR14 (% precio),2.57,2.19,2.46
TECNICO,ADX14 (regimen),22.6 (TENDENCIA MODERADA),17.8 (SIN TENDENCIA),23.2 (TENDENCIA MODERADA)
TECNICO,Posicion rango 52s (%),93.1,87.3,90.6
TECNICO,Distancia a maximo 52s (%),-3.4,-5.3,-4.3
TECNICO,Momentum 1M / 3M (%),9.2000 / 14.50,8.1000 / 3.5000,3.8000 / 4.3000
TECNICO,Momentum 6M / 12M (%),44.80 / 74.20,25.00 / 56.10,20.70 / 66.60
TECNICO,Volumen relativo (vs 20d),1.17,0.32,0.29
NOTICIAS,Noticias / score neto,10 / +2,10 / -1,10 / +4
NOTICIAS,Bullish / Bearish / Neutrales,3 / 1 / 6,2 / 3 / 5,4 / 0 / 6
