seccion,metrica,PBF,DINO,MPC
PERFIL,Nombre,PBF Energy Inc.,HF Sinclair Corporation,Marathon Petroleum Corporation
PERFIL,Sector / Industria (Yahoo),Energy / Oil & Gas Refining & Marketing,Energy / Oil & Gas Refining & Marketing,Energy / Oil & Gas Refining & Marketing
PERFIL,CEDEAR (.BA),,,
PERFIL,Precio actual (USD),68.14,94.9,359.9
PERFIL,Market Cap (B USD),8.1,16.9,101.1
CUANTITATIVO 3Y,Retorno anualizado,0.3075,0.276,0.381
CUANTITATIVO 3Y,Volatilidad anualizada,0.5603,0.3596,0.3262
CUANTITATIVO 3Y,Sharpe ratio,0.549,0.768,1.168
CUANTITATIVO 3Y,VaR diario 95%,-0.0548,-0.0343,-0.0306
CUANTITATIVO 3Y,Max drawdown,-0.7604,-0.5735,-0.4475
CUANTITATIVO 3Y,Skewness,0.185,-0.264,-0.388
CUANTITATIVO 3Y,Kurtosis (exceso),2.416,2.856,4.373
CUANTITATIVO 3Y,p-value Jarque-Bera,0.0,0.0,0.0
CUANTITATIVO 3Y,Beta vs SPY,0.743,0.685,0.634
CUANTITATIVO 3Y,Alpha anual vs SPY,0.1515,0.132,0.2478
CUANTITATIVO 3Y,R² vs SPY,0.041,0.085,0.089
CUANTITATIVO 3Y,Beta vs XLE,1.541,1.058,1.095
CUANTITATIVO 3Y,Alpha anual vs XLE,0.0358,0.0894,0.1878
CUANTITATIVO 3Y,R² vs XLE,0.36,0.412,0.536
FUNDAMENTAL,P/E trailing,5.97,9.05,12.47
FUNDAMENTAL,P/E forward,7.03,10.12,11.18
FUNDAMENTAL,PEG (trailing),,1.18,1.8
FUNDAMENTAL,P/S,0.23,0.54,0.66
FUNDAMENTAL,P/B,1.26,1.64,5.34
FUNDAMENTAL,EV/EBITDA,10.32,5.63,8.77
FUNDAMENTAL,P/E aprox actual / percentil 3y,5.9700 (98.30%),9.0500 (99.30%),12.47 (99.30%)
FUNDAMENTAL,Margen bruto,-0.0195,0.0518,0.0754
FUNDAMENTAL,Margen operativo,-0.001,0.0353,0.0635
FUNDAMENTAL,Margen neto,-0.0054,0.0214,0.0305
FUNDAMENTAL,ROE,-0.0298,0.0625,0.2335
FUNDAMENTAL,ROA,-0.0122,0.0348,0.0482
FUNDAMENTAL,Deuda/Patrimonio,0.548,0.352,1.984
FUNDAMENTAL,Deuda/EBITDA,4.6,1.74,2.94
FUNDAMENTAL,Liquidez corriente,1.21,1.94,1.26
FUNDAMENTAL,FCF (B USD),-0.78,0.79,4.77
FUNDAMENTAL,Crecimiento ingresos YoY,0.562,0.532,0.537
FUNDAMENTAL,Altman Z (zona),4.3200 (SEGURA),5.5700 (SEGURA),4.4100 (SEGURA)
FUNDAMENTAL,Target price / upside,67.62 (+-0.8000%),90.80 (+-4.3000%),324.56 (+-9.8000%)
TECNICO,SMA20 / SMA50 / SMA200,69.04 / 58.44 / 42.50,90.15 / 82.18 / 62.94,334.20 / 300.76 / 232.98
TECNICO,Tendencia (vs SMA200),ALCISTA,ALCISTA,ALCISTA
TECNICO,Cruce SMA50/200,GOLDEN CROSS,GOLDEN CROSS,GOLDEN CROSS
TECNICO,RSI14 (zona),52.5 (NEUTRAL),62.0 (NEUTRAL),70.4 (SOBRECOMPRA)
TECNICO,MACD hist,-0.724,0.219,1.157
TECNICO,Bollinger %B,0.45,0.74,0.75
TECNICO,ATR14 (% precio),5.84,3.68,2.88
TECNICO,ADX14 (regimen),30.9 (TENDENCIA FUERTE),31.3 (TENDENCIA FUERTE),42.2 (TENDENCIA FUERTE)
TECNICO,Posicion rango 52s (%),86.2,95.4,97.4
TECNICO,Distancia a maximo 52s (%),-9.4,-2.5,-1.5
TECNICO,Momentum 1M / 3M (%),12.10 / 76.30,6.9000 / 40.30,17.90 / 46.10
TECNICO,Momentum 6M / 12M (%),96.80 / 171.40,94.80 / 99.10,85.00 / 112.50
TECNICO,Volumen relativo (vs 20d),0.14,0.15,0.31
NOTICIAS,Noticias / score neto,10 / +8,10 / +3,10 / +5
NOTICIAS,Bullish / Bearish / Neutrales,8 / 0 / 2,3 / 0 / 7,6 / 1 / 3
