seccion,metrica,VG,LNG,TRGP
PERFIL,Nombre,"Venture Global, Inc.","Cheniere Energy, Inc.",Targa Resources Corp.
PERFIL,Sector / Industria (Yahoo),Energy / Oil & Gas Midstream,Energy / Oil & Gas Midstream,Energy / Oil & Gas Midstream
PERFIL,CEDEAR (.BA),,,
PERFIL,Precio actual (USD),14.03,279.69,291.32
PERFIL,Market Cap (B USD),35.1,57.8,62.5
CUANTITATIVO 3Y,Retorno anualizado,0.0508,0.2308,0.482
CUANTITATIVO 3Y,Volatilidad anualizada,0.859,0.2679,0.297
CUANTITATIVO 3Y,Sharpe ratio,0.059,0.862,1.623
CUANTITATIVO 3Y,VaR diario 95%,-0.0786,-0.0242,-0.0278
CUANTITATIVO 3Y,Max drawdown,-0.7516,-0.2487,-0.3161
CUANTITATIVO 3Y,Skewness,-0.767,-0.372,-0.71
CUANTITATIVO 3Y,Kurtosis (exceso),6.143,3.672,4.753
CUANTITATIVO 3Y,p-value Jarque-Bera,0.0,0.0,0.0
CUANTITATIVO 3Y,Beta vs SPY,0.865,0.301,0.692
CUANTITATIVO 3Y,Alpha anual vs SPY,-0.0982,0.1677,0.3366
CUANTITATIVO 3Y,R² vs SPY,0.031,0.03,0.128
CUANTITATIVO 3Y,Beta vs XLE,1.802,0.726,0.982
CUANTITATIVO 3Y,Alpha anual vs XLE,-0.4191,0.1028,0.3088
CUANTITATIVO 3Y,R² vs XLE,0.263,0.349,0.52
FUNDAMENTAL,P/E trailing,10.63,21.19,27.88
FUNDAMENTAL,P/E forward,14.07,13.47,24.12
FUNDAMENTAL,PEG (trailing),0.91,9.46,1.25
FUNDAMENTAL,P/S,2.07,2.76,3.73
FUNDAMENTAL,P/B,4.09,9.39,19.94
FUNDAMENTAL,EV/EBITDA,10.78,11.52,15.04
FUNDAMENTAL,P/E aprox actual / percentil 3y,10.63 (73.60%),21.19 (98.30%),27.88 (99.20%)
FUNDAMENTAL,Margen bruto,0.5017,0.4771,0.2939
FUNDAMENTAL,Margen operativo,0.3498,0.4621,0.1961
FUNDAMENTAL,Margen neto,0.1641,0.2668,0.1081
FUNDAMENTAL,ROE,0.3352,0.6734,0.6002
FUNDAMENTAL,ROA,0.0423,0.1113,0.073
FUNDAMENTAL,Deuda/Patrimonio,5.176,3.224,5.711
FUNDAMENTAL,Deuda/EBITDA,6.06,2.42,3.61
FUNDAMENTAL,Liquidez corriente,0.93,0.94,0.67
FUNDAMENTAL,FCF (B USD),-6.8,2.46,0.58
FUNDAMENTAL,Crecimiento ingresos YoY,0.476,0.227,0.042
FUNDAMENTAL,Altman Z (zona),1.2700 (RIESGO),2.7600 (GRIS),3.3200 (SEGURA)
FUNDAMENTAL,Target price / upside,16.47 (+17.30%),308.90 (+10.40%),306.86 (+5.3000%)
TECNICO,SMA20 / SMA50 / SMA200,13.61 / 12.79 / 11.10,266.86 / 256.47 / 236.29,275.82 / 272.57 / 231.29
TECNICO,Tendencia (vs SMA200),ALCISTA,ALCISTA,ALCISTA
TECNICO,Cruce SMA50/200,GOLDEN CROSS,GOLDEN CROSS,GOLDEN CROSS
TECNICO,RSI14 (zona),53.9 (NEUTRAL),62.7 (NEUTRAL),59.5 (NEUTRAL)
TECNICO,MACD hist,0.028,1.152,2.732
TECNICO,Bollinger %B,0.69,0.87,0.76
TECNICO,ATR14 (% precio),5.02,2.51,3.0
TECNICO,ADX14 (regimen),9.7 (SIN TENDENCIA),13.9 (SIN TENDENCIA),24.6 (TENDENCIA MODERADA)
TECNICO,Posicion rango 52s (%),70.1,85.3,93.1
TECNICO,Distancia a maximo 52s (%),-19.8,-5.4,-3.6
TECNICO,Momentum 1M / 3M (%),15.30 / 13.60,11.10 / 21.40,11.90 / 11.00
TECNICO,Momentum 6M / 12M (%),51.20 / 5.8000,27.30 / 18.00,27.80 / 84.60
TECNICO,Volumen relativo (vs 20d),0.28,0.28,0.19
NOTICIAS,Noticias / score neto,10 / +6,10 / +8,10 / +8
NOTICIAS,Bullish / Bearish / Neutrales,6 / 0 / 4,8 / 0 / 2,8 / 0 / 2
