seccion,metrica,EMR,PH,ETN
PERFIL,Nombre,Emerson Electric Co.,Parker-Hannifin Corporation,Eaton Corporation plc
PERFIL,Sector / Industria (Yahoo),Industrials / Specialty Industrial Machinery,Industrials / Specialty Industrial Machinery,Industrials / Specialty Industrial Machinery
PERFIL,CEDEAR (.BA),,,
PERFIL,Precio actual (USD),157.04,1019.58,414.05
PERFIL,Market Cap (B USD),87.6,128.5,160.8
CUANTITATIVO 3Y,Retorno anualizado,0.2198,0.3611,0.278
CUANTITATIVO 3Y,Volatilidad anualizada,0.292,0.2845,0.3439
CUANTITATIVO 3Y,Sharpe ratio,0.753,1.27,0.808
CUANTITATIVO 3Y,VaR diario 95%,-0.0278,-0.0241,-0.0341
CUANTITATIVO 3Y,Max drawdown,-0.2961,-0.2679,-0.3446
CUANTITATIVO 3Y,Skewness,0.236,0.728,-0.494
CUANTITATIVO 3Y,Kurtosis (exceso),5.377,10.271,5.953
CUANTITATIVO 3Y,p-value Jarque-Bera,0.0,0.0,0.0
CUANTITATIVO 3Y,Beta vs SPY,1.269,1.233,1.496
CUANTITATIVO 3Y,Alpha anual vs SPY,-0.047,0.1021,-0.0363
CUANTITATIVO 3Y,R² vs SPY,0.444,0.441,0.445
CUANTITATIVO 3Y,Beta vs XLI,1.352,1.341,1.474
CUANTITATIVO 3Y,Alpha anual vs XLI,-0.0541,0.0895,-0.0206
CUANTITATIVO 3Y,R² vs XLI,0.598,0.619,0.512
FUNDAMENTAL,P/E trailing,34.36,35.77,42.21
FUNDAMENTAL,P/E forward,21.7,25.88,25.82
FUNDAMENTAL,PEG (trailing),1.82,3.4,2.93
FUNDAMENTAL,P/S,4.7,5.98,5.36
FUNDAMENTAL,P/B,4.3,8.35,7.94
FUNDAMENTAL,EV/EBITDA,16.43,24.03,27.02
FUNDAMENTAL,P/E aprox actual / percentil 3y,34.36 (97.90%),35.77 (98.30%),42.21 (95.50%)
FUNDAMENTAL,Margen bruto,0.5284,0.3769,0.3759
FUNDAMENTAL,Margen operativo,0.1843,0.2309,0.1885
FUNDAMENTAL,Margen neto,0.1273,0.1697,0.1489
FUNDAMENTAL,ROE,0.1131,0.2368,0.2104
FUNDAMENTAL,ROA,0.0546,0.1181,0.0991
FUNDAMENTAL,Deuda/Patrimonio,0.678,0.553,0.542
FUNDAMENTAL,Deuda/EBITDA,2.84,1.44,1.7
FUNDAMENTAL,Liquidez corriente,0.88,1.26,1.32
FUNDAMENTAL,FCF (B USD),2.67,3.9,3.55
FUNDAMENTAL,Crecimiento ingresos YoY,0.07,0.098,0.214
FUNDAMENTAL,Altman Z (zona),5.8300 (SEGURA),11.45 (SEGURA),10.66 (SEGURA)
FUNDAMENTAL,Target price / upside,171.44 (+9.2000%),"1,160.95 (+13.90%)",477.37 (+15.30%)
TECNICO,SMA20 / SMA50 / SMA200,157.37 / 148.09 / 140.77,"1,024.09 / 986.56 / 928.65",431.08 / 416.32 / 377.57
TECNICO,Tendencia (vs SMA200),ALCISTA,ALCISTA,ALCISTA
TECNICO,Cruce SMA50/200,GOLDEN CROSS,GOLDEN CROSS,GOLDEN CROSS
TECNICO,RSI14 (zona),55.1 (NEUTRAL),52.6 (NEUTRAL),45.3 (NEUTRAL)
TECNICO,MACD hist,-0.971,-7.089,-5.068
TECNICO,Bollinger %B,0.48,0.47,0.34
TECNICO,ATR14 (% precio),2.5,2.32,3.71
TECNICO,ADX14 (regimen),30.8 (TENDENCIA FUERTE),20.7 (TENDENCIA MODERADA),15.7 (SIN TENDENCIA)
TECNICO,Posicion rango 52s (%),83.7,85.0,68.7
TECNICO,Distancia a maximo 52s (%),-4.1,-5.1,-10.0
TECNICO,Momentum 1M / 3M (%),3.8000 / 12.80,2.9000 / 19.00,7.5000 / 2.1000
TECNICO,Momentum 6M / 12M (%),6.6000 / 20.50,1.0000 / 37.10,11.80 / 21.10
TECNICO,Volumen relativo (vs 20d),0.36,0.29,0.24
NOTICIAS,Noticias / score neto,10 / +5,10 / +6,10 / +4
NOTICIAS,Bullish / Bearish / Neutrales,5 / 0 / 5,6 / 0 / 4,5 / 1 / 4
