seccion,metrica,CSX,UNP,CNI
PERFIL,Nombre,CSX Corporation,Union Pacific Corporation,Canadian National Railway Company
PERFIL,Sector / Industria (Yahoo),Industrials / Railroads,Industrials / Railroads,Industrials / Railroads
PERFIL,CEDEAR (.BA),,UNP.BA,
PERFIL,Precio actual (USD),51.6,309.51,127.8
PERFIL,Market Cap (B USD),95.6,183.9,77.3
CUANTITATIVO 3Y,Retorno anualizado,0.211,0.1536,0.0856
CUANTITATIVO 3Y,Volatilidad anualizada,0.2223,0.2141,0.21
CUANTITATIVO 3Y,Sharpe ratio,0.949,0.718,0.408
CUANTITATIVO 3Y,VaR diario 95%,-0.0213,-0.0193,-0.021
CUANTITATIVO 3Y,Max drawdown,-0.2944,-0.1775,-0.2913
CUANTITATIVO 3Y,Skewness,0.373,0.623,-0.078
CUANTITATIVO 3Y,Kurtosis (exceso),4.703,5.54,2.39
CUANTITATIVO 3Y,p-value Jarque-Bera,0.0,0.0,0.0
CUANTITATIVO 3Y,Beta vs SPY,0.646,0.577,0.582
CUANTITATIVO 3Y,Alpha anual vs SPY,0.0753,0.0324,-0.0367
CUANTITATIVO 3Y,R² vs SPY,0.198,0.171,0.181
CUANTITATIVO 3Y,Beta vs XLI,0.793,0.753,0.653
CUANTITATIVO 3Y,Alpha anual vs XLI,0.0503,0.001,-0.0467
CUANTITATIVO 3Y,R² vs XLI,0.355,0.345,0.27
FUNDAMENTAL,P/E trailing,30.0,25.04,22.58
FUNDAMENTAL,P/E forward,22.71,21.87,19.6
FUNDAMENTAL,PEG (trailing),2.09,3.43,2.82
FUNDAMENTAL,P/S,6.59,7.24,4.35
FUNDAMENTAL,P/B,6.79,9.46,4.86
FUNDAMENTAL,EV/EBITDA,16.59,16.54,10.87
FUNDAMENTAL,P/E aprox actual / percentil 3y,30.00 (99.50%),25.04 (99.70%),22.58 (98.50%)
FUNDAMENTAL,Margen bruto,0.3325,0.4578,0.4237
FUNDAMENTAL,Margen operativo,0.3273,0.4274,0.4148
FUNDAMENTAL,Margen neto,0.205,0.2912,0.2728
FUNDAMENTAL,ROE,0.2196,0.3865,0.2188
FUNDAMENTAL,ROA,0.0661,0.1024,0.0806
FUNDAMENTAL,Deuda/Patrimonio,1.471,1.777,1.003
FUNDAMENTAL,Deuda/EBITDA,3.08,2.54,2.37
FUNDAMENTAL,Liquidez corriente,0.81,0.91,0.67
FUNDAMENTAL,FCF (B USD),1.71,5.5,3.39
FUNDAMENTAL,Crecimiento ingresos YoY,0.101,0.115,0.113
FUNDAMENTAL,Altman Z (zona),3.9600 (SEGURA),5.6000 (SEGURA),3.2700 (SEGURA)
FUNDAMENTAL,Target price / upside,53.14 (+3.0000%),329.25 (+6.4000%),140.28 (+9.8000%)
TECNICO,SMA20 / SMA50 / SMA200,50.59 / 49.55 / 42.41,297.38 / 287.79 / 255.76,127.21 / 124.42 / 109.10
TECNICO,Tendencia (vs SMA200),ALCISTA,ALCISTA,ALCISTA
TECNICO,Cruce SMA50/200,GOLDEN CROSS,GOLDEN CROSS,GOLDEN CROSS
TECNICO,RSI14 (zona),61.3 (NEUTRAL),67.8 (NEUTRAL),54.3 (NEUTRAL)
TECNICO,MACD hist,0.047,0.99,-0.097
TECNICO,Bollinger %B,0.96,0.98,0.63
TECNICO,ATR14 (% precio),1.85,1.97,1.69
TECNICO,ADX14 (regimen),24.5 (TENDENCIA MODERADA),25.2 (TENDENCIA FUERTE),14.9 (SIN TENDENCIA)
TECNICO,Posicion rango 52s (%),92.4,99.6,93.2
TECNICO,Distancia a maximo 52s (%),-3.1,-0.1,-2.1
TECNICO,Momentum 1M / 3M (%),1.5000 / 9.8000,5.1000 / 11.40,-1.3000 / 8.3000
TECNICO,Momentum 6M / 12M (%),23.00 / 59.50,18.30 / 41.70,18.60 / 37.10
TECNICO,Volumen relativo (vs 20d),0.22,0.19,0.16
NOTICIAS,Noticias / score neto,10 / +4,10 / +3,10 / +6
NOTICIAS,Bullish / Bearish / Neutrales,4 / 0 / 6,3 / 0 / 7,6 / 0 / 4
